X;Y;name
-139.1787191406;60.9206734918;G02_LM057
-139.1783709903;60.9204641974;G02_LM058
-139.1780228446;60.9202549022;G02_LM059
-139.1776747034;60.920045606;G02_LM060
-139.1773265667;60.919836309;G02_LM061
-139.1769784347;60.9196270111;G02_LM062
-139.1766303072;60.9194177123;G02_LM063
-139.1763103555;60.9191982913;G02_LM064
-139.176002144;60.9189746532;G02_LM065
-139.1756939369;60.9187510144;G02_LM066
-139.175385734;60.9185273748;G02_LM067
-139.1750775355;60.9183037346;G02_LM068
-139.1747693413;60.9180800937;G02_LM069
-139.1744611514;60.9178564521;G02_LM070
-139.1741529657;60.9176328098;G02_LM071
-139.1738447844;60.9174091667;G02_LM072
-139.1735366074;60.917185523;G02_LM073
-139.1732284347;60.9169618787;G02_LM074
-139.1729202663;60.9167382336;G02_LM075
-139.1726121022;60.9165145878;G02_LM076
-139.1723039424;60.9162909413;G02_LM077
-139.1719589491;60.916084264;G02_LM078
-139.1715173177;60.9159221055;G02_LM079
-139.1710756908;60.9157599454;G02_LM080
-139.1706340684;60.915597784;G02_LM081
-139.1701924504;60.9154356211;G02_LM082
-139.169750837;60.9152734568;G02_LM083
-139.1693092281;60.9151112911;G02_LM084
-139.1688676236;60.9149491239;G02_LM085
-139.1684260237;60.9147869553;G02_LM086
-139.1679844283;60.9146247853;G02_LM087
-139.1675428373;60.9144626138;G02_LM088
-139.1671012509;60.9143004409;G02_LM089
-139.166659669;60.9141382665;G02_LM090
-139.1659738987;60.9138606853;G02_UM001
-139.165465564;60.9137545403;G02_UM002
-139.1649572327;60.9136483934;G02_UM003
-139.1644489048;60.9135422446;G02_UM004
-139.1639405803;60.9134360939;G02_UM005
-139.1634322593;60.9133299413;G02_UM006
-139.1629239416;60.9132237868;G02_UM007
-139.1624156274;60.9131176303;G02_UM008
-139.1619073166;60.913011472;G02_UM009
-139.1613990091;60.9129053118;G02_UM010
-139.1608907051;60.9127991496;G02_UM011
-139.1603824045;60.9126929856;G02_UM012
-139.1598741073;60.9125868196;G02_UM013
-139.1593658135;60.9124806517;G02_UM014
-139.1588575232;60.912374482;G02_UM015
-139.1583492362;60.9122683103;G02_UM016
-139.1578409526;60.9121621367;G02_UM017
-139.1573326725;60.9120559612;G02_UM018
-139.1568243957;60.9119497838;G02_UM019
-139.1563161224;60.9118436045;G02_UM020
-139.1558078525;60.9117374233;G02_UM021
-139.155299586;60.9116312401;G02_UM022
-139.1547913229;60.9115250551;G02_UM023
-139.1542830632;60.9114188682;G02_UM024
-139.1537748069;60.9113126793;G02_UM025
-139.153266554;60.9112064886;G02_UM026
-139.1527583046;60.9111002959;G02_UM027
-139.1522500585;60.9109941014;G02_UM028
-139.1517418159;60.9108879049;G02_UM029
-139.1512335767;60.9107817066;G02_UM030
-139.1507253408;60.9106755063;G02_UM031
-139.1502171084;60.9105693041;G02_UM032
-139.1497088794;60.9104631;G02_UM033
-139.1492006538;60.910356894;G02_UM034
-139.1486924317;60.9102506861;G02_UM035
-139.1481842129;60.9101444763;G02_UM036
-139.1476759975;60.9100382646;G02_UM037
-139.1471677856;60.909932051;G02_UM038
-139.146659577;60.9098258355;G02_UM039
-139.1461513719;60.909719618;G02_UM040
-139.1456431702;60.9096133987;G02_UM041
-139.1451349719;60.9095071775;G02_UM042
-139.144626777;60.9094009543;G02_UM043
-139.1441185855;60.9092947293;G02_UM044
-139.1436103974;60.9091885023;G02_UM045
-139.1431022128;60.9090822734;G02_UM046
-139.1426523668;60.9089276348;G02_UM047
-139.1422140966;60.9087633925;G02_UM048
-139.1417758308;60.9085991489;G02_UM049
-139.1413375696;60.9084349038;G02_UM050
-139.140899313;60.9082706574;G02_UM051
-139.1404610608;60.9081064095;G02_UM052
-139.1400228132;60.9079421602;G02_UM053
-139.1395845701;60.9077779095;G02_UM054
-139.1391463315;60.9076136574;G02_UM055
-139.1387080974;60.9074494039;G02_UM056
-139.1382698678;60.9072851489;G02_UM057
-139.1378316428;60.9071208926;G02_UM058
-139.1373934223;60.9069566348;G02_UM059
-139.1098214369;61.0168381253;G13_LM001
-139.1095455543;61.0166044661;G13_LM002
-139.1092696758;61.0163708063;G13_LM003
-139.1089938013;61.0161371459;G13_LM004
-139.1087179308;61.015903485;G13_LM005
-139.1084420644;61.0156698236;G13_LM006
-139.108166202;61.0154361616;G13_LM007
-139.1078903437;61.015202499;G13_LM008
-139.1076144893;61.0149688359;G13_LM009
-139.107338639;61.0147351723;G13_LM010
-139.1070627928;61.0145015081;G13_LM011
-139.1067869506;61.0142678433;G13_LM012
-139.1065111124;61.014034178;G13_LM013
-139.1062352782;61.0138005121;G13_LM014
-139.1059594481;61.0135668457;G13_LM015
-139.105683622;61.0133331787;G13_LM016
-139.1054078;61.0130995111;G13_LM017
-139.105131982;61.012865843;G13_LM018
-139.104856168;61.0126321744;G13_LM019
