X,Y,X,Y,name
602936.358228433,6764195.34061432,-139.0966579917,60.9992136889,G13_Z3A_ZZ08
603578.046926905,6764542.68826083,-139.0846129059,61.002162528,G13_Z3B_ZZ01
603537.81372637,6764528.8764569,-139.0853638807,61.0020491536,G13_Z3B_ZZ02
603577.884702741,6764515.5018265,-139.084630599,61.0019186298,G13_Z3B_ZZ03
603537.998182624,6764515.29098915,-139.0853678125,61.0019272043,G13_Z3B_ZZ04
603551.605985042,6764555.61190356,-139.085094552,61.0022854291,G13_Z3B_ZZ05
603562.988644183,6764515.59704299,-139.0849058254,61.0019233934,G13_Z3B_ZZ06
603577.780850669,6764555.42181947,-139.08461094,61.0022768546,G13_Z3B_ZZ07
603537.785389521,6764555.31395626,-139.0853501194,61.0022863818,G13_Z3B_ZZ08
603216.655719677,6764503.24648717,-139.0913127023,61.0019033041,G13_Z3C_ZZ01
603176.42081098,6764489.43881678,-139.0920636771,61.0017899298,G13_Z3C_ZZ02
603216.490704647,6764476.06009532,-139.0913303954,61.0016594059,G13_Z3C_ZZ03
603176.603874516,6764475.85334314,-139.0920676089,61.0016679805,G13_Z3C_ZZ04
603190.215912678,6764516.17282929,-139.0917943484,61.0020262053,G13_Z3C_ZZ05
603201.594547959,6764476.15684426,-139.0916056218,61.0016641696,G13_Z3C_ZZ06
603216.390953239,6764515.98007215,-139.0913107363,61.0020176308,G13_Z3C_ZZ07
603176.395186772,6764515.87629385,-139.0920499158,61.002027158,G13_Z3C_ZZ08
603377.375188767,6763982.78375645,-139.0886233474,60.9971911722,G13_Z4A_ZZ01
603337.134797137,6763968.97431507,-139.0893743222,60.9970777979,G13_Z4A_ZZ02
603377.211111648,6763955.59736198,-139.0886410405,60.996947274,G13_Z4A_ZZ03
603337.318368804,6763955.38885183,-139.089378254,60.9969558486,G13_Z4A_ZZ04
603350.931000221,6763995.70891988,-139.0891049935,60.9973140733,G13_Z4A_ZZ05
603362.312740961,6763955.69344322,-139.0889162669,60.9969520376,G13_Z4A_ZZ06
603377.109927176,6763995.51731629,-139.0886213815,60.9973054988,G13_Z4A_ZZ07
603337.108233501,6763995.41177535,-139.0893605609,60.997315026,G13_Z4A_ZZ08
603938.942400941,6764221.86669674,-139.0781175634,60.9991889592,G13_Z4B_ZZ01
603898.706725631,6764208.05082919,-139.0788685382,60.9990755849,G13_Z4B_ZZ02
603938.782760257,6764194.68023108,-139.0781352565,60.998945061,G13_Z4B_ZZ03
603898.892497951,6764194.46537263,-139.07887247,60.9989536356,G13_Z4B_ZZ04
603912.497729472,6764234.78768479,-139.0785992095,60.9993118604,G13_Z4B_ZZ05
603923.885287301,6764194.77395291,-139.0784104829,60.9989498247,G13_Z4B_ZZ06
603938.675082067,6764234.60024663,-139.0781155975,60.9993032859,G13_Z4B_ZZ07
603898.675858886,6764234.4883402,-139.0788547769,60.9993128131,G13_Z4B_ZZ08
603936.3187999,6764021.23723226,-139.0782748356,60.9973894305,G13_Z4C_ZZ01
603896.080787816,6764007.42140681,-139.0790258104,60.9972760561,G13_Z4C_ZZ02
603936.159025722,6763994.05077295,-139.0782925287,60.9971455323,G13_Z4C_ZZ03
603896.266508445,6763993.8359531,-139.0790297422,60.9971541068,G13_Z4C_ZZ04
603909.87269343,6764034.15823917,-139.0787564817,60.9975123316,G13_Z4C_ZZ05
603921.260711622,6763994.14450218,-139.0785677551,60.9971502959,G13_Z4C_ZZ06
603936.051524548,6764033.97076845,-139.0782728697,60.9975037571,G13_Z4C_ZZ07
603896.050040349,6764033.85891187,-139.0790120491,60.9975132843,G13_Z4C_ZZ08
604618.363802737,6763782.0709837,-139.0658031489,60.9950632617,G13_Z5A_ZZ01
604578.125373295,6763768.2474266,-139.0665541237,60.9949498874,G13_Z5A_ZZ02
604618.209117008,6763754.88445455,-139.065820842,60.9948193635,G13_Z5A_ZZ03
604578.313656896,6763754.66197783,-139.0665580555,60.994827938,G13_Z5A_ZZ04
604591.913289113,6763794.98693328,-139.0662847951,60.9951861628,G13_Z5A_ZZ05
604603.309671236,6763754.97532448,-139.0660960684,60.9948241271,G13_Z5A_ZZ06
604618.094118476,6763794.80448695,-139.065801183,60.9951775883,G13_Z5A_ZZ07
604578.089663933,6763794.68495272,-139.0665403624,60.9951871155,G13_Z5A_ZZ08
603857.983295737,6763499.6189969,-139.08000483,60.9927296366,G13_Z5B_ZZ01
603817.738960353,6763485.80412467,-139.0807558048,60.9926162622,G13_Z5B_ZZ02
603857.822626871,6763472.43256226,-139.0800225231,60.9924857384,G13_Z5B_ZZ03
603817.924272734,6763472.21867707,-139.0807597366,60.9924943129,G13_Z5B_ZZ04
603831.533738446,6763512.54061338,-139.0804864761,60.9928525377,G13_Z5B_ZZ05
603842.922138507,6763472.5266404,-139.0802977495,60.992490502,G13_Z5B_ZZ06
603857.716389438,6763512.35252956,-139.0800028641,60.9928439632,G13_Z5B_ZZ07
603817.709055666,6763512.24161011,-139.0807420435,60.9928534904,G13_Z5B_ZZ08
603896.923518927,6763420.01443973,-139.0793285594,60.9920051095,G13_Z5C_ZZ01
603856.678388801,6763406.19914409,-139.0800795343,60.9918917352,G13_Z5C_ZZ02
603896.763097884,6763392.82800291,-139.0793462526,60.9917612113,G13_Z5C_ZZ03
603856.8638338,6763392.61369834,-139.0800834661,60.9917697859,G13_Z5C_ZZ04
603870.473229763,6763432.93577079,-139.0798102056,60.9921280106,G13_Z5C_ZZ05
603881.862273576,6763392.92192044,-139.0796214789,60.9917659749,G13_Z5C_ZZ06
603896.656486203,6763432.74796964,-139.0793265935,60.9921194361,G13_Z5C_ZZ07
603856.648239334,6763432.6366185,-139.0800657729,60.9921289633,G13_Z5C_ZZ08
604698.678790446,6763339.92003315,-139.0645606984,60.9910746405,G13_Z6A_ZZ01
604658.435507912,6763326.09561282,-139.0653116732,60.9909612662,G13_Z6A_ZZ02
604698.52446901,6763312.73350828,-139.0645783915,60.9908307423,G13_Z6A_ZZ03
604658.62400657,6763312.51018306,-139.065315605,60.9908393169,G13_Z6A_ZZ04
604672.2247761,6763352.83540912,-139.0650423446,60.9911975416,G13_Z6A_ZZ05
604683.623152723,6763312.82405711,-139.0648536179,60.9908355059,G13_Z6A_ZZ06
604698.408892637,6763352.65352702,-139.0645587325,60.9911889671,G13_Z6A_ZZ07
604658.399420895,6763352.53313076,-139.0652979119,60.9911984943,G13_Z6A_ZZ08
605178.574394608,6763352.42636439,-139.0556885795,60.9910593093,G13_Z6B_ZZ01
605138.564721827,6763352.30054605,-139.056427759,60.9910688365,G13_Z6B_ZZ02
605178.846016304,6763339.69289169,-139.0556905454,60.9909449827,G13_Z6B_ZZ03
605138.604385567,6763325.86298989,-139.0564415203,60.9908316083,G13_Z6B_ZZ04
605178.695366157,6763312.50631284,-139.0557082386,60.9907010845,G13_Z6B_ZZ05
605138.794722919,6763312.27756923,-139.0564454521,60.990709659,G13_Z6B_ZZ06
605152.390114777,6763352.60469844,-139.0561721916,60.9910678838,G13_Z6B_ZZ07
605163.793964103,6763312.59484264,-139.0559834649,60.9907058481,G13_Z6B_ZZ08
604417.39130222,6762950.78755979,-139.0699688967,60.987657513,G13_Z6C_ZZ01
604377.377412783,6762950.67037742,-139.0707080761,60.9876670402,G13_Z6C_ZZ02
604417.660123547,6762938.0540478,-139.0699708626,60.9875431863,G13_Z6C_ZZ03
604377.411206732,6762924.23287596,-139.0707218374,60.987429812,G13_Z6C_ZZ04
604417.50342261,6762910.8675667,-139.0699885557,60.9872992881,G13_Z6C_ZZ05
604377.598545605,6762910.64744673,-139.0707257692,60.9873078627,G13_Z6C_ZZ06
604391.204317514,6762950.97153377,-139.0704525088,60.9876660874,G13_Z6C_ZZ07
604402.600472442,6762910.95932351,-139.0702637821,60.9873040518,G13_Z6C_ZZ08
605138.35490858,6762268.89109022,-139.0570253934,60.9813477193,G13_Z7A_ZZ01
605098.333042174,6762268.76583671,-139.0577645728,60.9813572465,G13_Z7A_ZZ02
605138.626201878,6762256.15763004,-139.0570273593,60.9812333927,G13_Z7A_ZZ03
605098.371864077,6762242.32832511,-139.0577783341,60.9811200184,G13_Z7A_ZZ04
605138.474633318,6762228.97108842,-139.0570450524,60.9809894945,G13_Z7A_ZZ05
605098.561820808,6762228.74291923,-139.0577822659,60.9809980691,G13_Z7A_ZZ06
605112.162658935,6762269.06979363,-139.0575090054,60.9813562938,G13_Z7A_ZZ07
605123.568686827,6762229.05982819,-139.0573202788,60.9809942581,G13_Z7A_ZZ08
605099.324284969,6762350.20791563,-139.0577016639,60.9820877439,G13_Z7B_ZZ01
605059.303350946,6762350.08309452,-139.0584408433,60.9820972711,G13_Z7B_ZZ02
605099.595451995,6762337.47445266,-139.0577036298,60.9819734173,G13_Z7B_ZZ03
605059.341922899,6762323.64558278,-139.0584546046,60.981860043,G13_Z7B_ZZ04
605099.443630884,6762310.28791296,-139.0577213229,60.9817295191,G13_Z7B_ZZ05
605059.531747226,6762310.06017499,-139.0584585364,60.9817380937,G13_Z7B_ZZ06
605073.132642565,6762350.38690186,-139.058185276,60.9820963184,G13_Z7B_ZZ07
605084.538032593,6762310.37682491,-139.0579965493,60.9817342828,G13_Z7B_ZZ08
604738.54482682,6762830.07993968,-139.0641026431,60.9864893764,G13_Z7C_ZZ01
604698.529447567,6762829.9591433,-139.0648418225,60.9864989036,G13_Z7C_ZZ02
604738.814780252,6762817.34645448,-139.064104609,60.9863750498,G13_Z7C_ZZ03
604698.565573047,6762803.52162701,-139.0648555838,60.9862616754,G13_Z7C_ZZ04
604738.660469706,6762790.15994083,-139.0641223021,60.9861311516,G13_Z7C_ZZ05
604698.754116395,6762789.93620551,-139.0648595156,60.9861397261,G13_Z7C_ZZ06
604712.356849209,6762830.26155995,-139.0645862551,60.9864979509,G13_Z7C_ZZ07
604723.756953066,6762790.25034058,-139.0643975285,60.9861359152,G13_Z7C_ZZ08
598331.584831466,6756376.00436782,-139.1857527018,60.9302214255,G02_Z1A_ZZ01
598291.499263561,6756375.95652811,-139.1864918812,60.9302309527,G02_Z1A_ZZ02
598331.830748655,6756363.27070446,-139.1857546677,60.9301070989,G02_Z1A_ZZ03
598291.484568248,6756349.51960888,-139.1865056425,60.9299937246,G02_Z1A_ZZ04
598331.623842475,6756336.08514252,-139.1857723608,60.9298632007,G02_Z1A_ZZ05
598291.647293734,6756335.93417857,-139.1865095743,60.9298717753,G02_Z1A_ZZ06
598305.3514208,6756376.23372794,-139.1862363138,60.93023,G02_Z1A_ZZ07
598316.694445146,6756336.20272225,-139.1860475872,60.9298679644,G02_Z1A_ZZ08
598091.659450103,6756416.20590785,-139.1901563238,60.9306417072,G02_Z1B_ZZ01
598051.574429944,6756416.16077172,-139.1908955032,60.9306512344,G02_Z1B_ZZ02
598091.904514719,6756403.47222348,-139.1901582897,60.9305273805,G02_Z1B_ZZ03
598051.557971451,6756389.72385627,-139.1909092645,60.9304140062,G02_Z1B_ZZ04
598091.695797757,6756376.28668983,-139.1901759828,60.9302834823,G02_Z1B_ZZ05
598051.719788377,6756376.13842214,-139.1909131963,60.9302920569,G02_Z1B_ZZ06
598065.4264156,6756416.43702601,-139.1906399358,60.9306502816,G02_Z1B_ZZ07
598076.76661346,6756376.4052764,-139.1904512092,60.930288246,G02_Z1B_ZZ08
598250.91722767,6756455.52117191,-139.1871996061,60.9309550021,G02_Z1C_ZZ01
598210.832587614,6756455.4742349,-139.1879387855,60.9309645293,G02_Z1C_ZZ02
598251.16286868,6756442.78750431,-139.187201572,60.9308406755,G02_Z1C_ZZ03
598210.817325963,6756429.03730742,-139.1879525469,60.9307273011,G02_Z1C_ZZ04
598250.955384418,6756415.60194967,-139.1872192652,60.9305967773,G02_Z1C_ZZ05
598210.979759102,6756415.45187484,-139.1879564787,60.9306053518,G02_Z1C_ZZ06
598224.68442434,6756455.75112261,-139.1876832182,60.9309635766,G02_Z1C_ZZ07
598236.026341252,6756415.7198546,-139.1874944915,60.9306015409,G02_Z1C_ZZ08
598531.426553978,6755936.14336267,-139.182292713,60.9262246428,G02_Z2A_ZZ01
598491.335950953,6755936.09330996,-139.1830318924,60.92623417,G02_Z2A_ZZ02
598531.673116605,6755923.40970201,-139.1822946789,60.9261103161,G02_Z2A_ZZ03
598491.322529371,6755909.65637933,-139.1830456537,60.9259969418,G02_Z2A_ZZ04
598531.467495756,6755896.2241292,-139.182312372,60.9258664179,G02_Z2A_ZZ05
598491.485930644,6755896.07095828,-139.1830495855,60.9258749925,G02_Z2A_ZZ06
598505.189830157,6755936.37127436,-139.1827763251,60.9262332173,G02_Z2A_ZZ07
598516.536216651,6755896.34088473,-139.1825875984,60.9258711816,G02_Z2A_ZZ08
598571.860194978,6755693.25085099,-139.1816714878,60.9240349848,G02_Z2B_ZZ01
598531.766839253,6755693.20036528,-139.1824106672,60.924044512,G02_Z2B_ZZ02
598572.106863396,6755680.51719525,-139.1816734537,60.9239206581,G02_Z2B_ZZ03
598531.75360126,6755666.76343919,-139.1824244285,60.9238072838,G02_Z2B_ZZ04
598571.901418136,6755653.33162504,-139.1816911468,60.9236767599,G02_Z2B_ZZ05
598531.91710857,6755653.17802231,-139.1824283603,60.9236853345,G02_Z2B_ZZ06
598545.621673293,6755693.47847941,-139.1821550998,60.9240435593,G02_Z2B_ZZ07
598556.96911289,6755653.44821926,-139.1819663732,60.9236815236,G02_Z2B_ZZ08
598651.416330283,6755854.3028244,-139.1801223564,60.9254603656,G02_Z2C_ZZ01
598611.324757707,6755854.25142557,-139.1808615358,60.9254698928,G02_Z2C_ZZ02
598651.663309131,6755841.56918069,-139.1801243223,60.925346039,G02_Z2C_ZZ03
598611.312182765,6755827.81448923,-139.1808752972,60.9252326646,G02_Z2C_ZZ04
598651.458554703,6755814.38358444,-139.1801420155,60.9251021407,G02_Z2C_ZZ05
598611.476026018,6755814.22907104,-139.180879229,60.9251107153,G02_Z2C_ZZ06
598625.178963548,6755854.5298552,-139.1806059685,60.9254689401,G02_Z2C_ZZ07
598636.526915559,6755814.49983879,-139.1804172418,60.9251069044,G02_Z2C_ZZ08
598971.018599669,6755225.39273397,-139.1745529541,60.9197371003,G02_Z3A_ZZ01
599011.17312647,6755211.96583324,-139.1738196724,60.9196065764,G02_Z3A_ZZ02
598971.183696386,6755211.80732972,-139.1745568859,60.919615151,G02_Z3A_ZZ03
598984.885369689,6755252.10948854,-139.1742836254,60.9199733758,G02_Z3A_ZZ04
598996.238888859,6755212.08059733,-139.1740948988,60.9196113401,G02_Z3A_ZZ05
599011.127289527,6755251.88507596,-139.1738000134,60.9199648013,G02_Z3A_ZZ06
598971.028787293,6755251.82967613,-139.1745391928,60.9199743285,G02_Z3A_ZZ07
599011.375459685,6755239.15144349,-139.1738019793,60.9198504746,G02_Z3A_ZZ08
598930.247372678,6755387.38212283,-139.175221361,60.9212008937,G02_Z3B_ZZ01
598970.399940854,6755373.95477586,-139.1744880793,60.9210703698,G02_Z3B_ZZ02
598930.412346067,6755373.79671559,-139.1752252928,60.9210789444,G02_Z3B_ZZ03
598944.113728325,6755414.09871466,-139.1749520324,60.9214371691,G02_Z3B_ZZ04
598955.466390438,6755374.06969437,-139.1747633057,60.9210751334,G02_Z3B_ZZ05
598970.354446408,6755413.87401132,-139.1744684203,60.9214285946,G02_Z3B_ZZ06
598930.257785385,6755413.81905596,-139.1752075997,60.9214381218,G02_Z3B_ZZ07
598970.602496378,6755401.14038616,-139.1744703862,60.921314268,G02_Z3B_ZZ08
598810.538592706,6755105.49969751,-139.1775725806,60.9187013213,G02_Z3C_ZZ01
598850.693771476,6755092.07097902,-139.1768392989,60.9185707974,G02_Z3C_ZZ02
598810.703052712,6755091.91429282,-139.1775765124,60.918579372,G02_Z3C_ZZ03
598824.407064129,6755132.2158079,-139.177303252,60.9189375968,G02_Z3C_ZZ04
598835.759060826,6755092.18642171,-139.1771145253,60.9185755611,G02_Z3C_ZZ05
598850.64981954,6755131.99020307,-139.1768196399,60.9189290223,G02_Z3C_ZZ06
598810.550029982,6755131.93662546,-139.1775588193,60.9189385495,G02_Z3C_ZZ07
598850.897395892,6755119.25656594,-139.1768216058,60.9188146956,G02_Z3C_ZZ08
599169.197985534,6754666.52455849,-139.1711873287,60.9146725465,G02_Z4A_ZZ01
599209.359509624,6754653.09985632,-139.170454047,60.9145420227,G02_Z4A_ZZ02
599169.363727193,6754652.93916531,-139.1711912605,60.9145505972,G02_Z4A_ZZ03
599183.065744252,6754693.24206363,-139.170918,60.914908822,G02_Z4A_ZZ04
599194.422891973,6754653.21379648,-139.1707292734,60.9145467863,G02_Z4A_ZZ05
599209.31184786,6754693.01907928,-139.170434388,60.9149002475,G02_Z4A_ZZ06
599169.206970831,6754692.96149712,-139.1711735674,60.9149097747,G02_Z4A_ZZ07
599209.560637042,6754680.28547341,-139.1704363539,60.9147859209,G02_Z4A_ZZ08
599531.905167022,6754691.81501889,-139.1644894982,60.9148085048,G02_Z4B_ZZ01
599491.800148696,6754691.7537971,-139.1652286776,60.914818032,G02_Z4B_ZZ02
599532.155110657,6754679.08142579,-139.1644914641,60.9146941782,G02_Z4B_ZZ03
599491.7935583,6754665.31683729,-139.1652424389,60.9145808038,G02_Z4B_ZZ04
599531.95644557,6754651.89575838,-139.1645091572,60.9144502799,G02_Z4B_ZZ05
599491.960525847,6754651.73144854,-139.1652463708,60.9144588545,G02_Z4B_ZZ06
599505.658941908,6754692.03562137,-139.1649731103,60.9148170793,G02_Z4B_ZZ07
599517.019762719,6754652.00835424,-139.1647843836,60.9144550436,G02_Z4B_ZZ08
599010.08338213,6755013.75600689,-139.1739415584,60.917828222,G02_Z4C_ZZ01
598969.982197429,6755013.70064174,-139.1746807378,60.9178377492,G02_Z4C_ZZ02
599010.331509881,6755001.02238878,-139.1739435243,60.9177138954,G02_Z4C_ZZ03
598969.97188697,6754987.26371787,-139.1746944991,60.9176005211,G02_Z4C_ZZ04
599010.12903781,6754973.83678605,-139.1739612174,60.9174699972,G02_Z4C_ZZ05
598970.136932119,6754973.67831714,-139.1746984309,60.9174785718,G02_Z4C_ZZ06
598983.83970799,6755013.9804421,-139.1744251704,60.9178367965,G02_Z4C_ZZ07
598995.193802096,6754973.95155188,-139.1742364438,60.9174747608,G02_Z4C_ZZ08
599663.90610818,6754130.64185385,-139.1623466643,60.9097396764,G02_Z5A_ZZ01
599675.270108523,6754090.61508707,-139.1621579376,60.9093776407,G02_Z5A_ZZ02
599690.156522234,6754130.42238436,-139.1618630522,60.9097311019,G02_Z5A_ZZ03
599650.04511671,6754130.35943142,-139.1626022316,60.9097406291,G02_Z5A_ZZ04
599690.40694169,6754117.68879408,-139.1618650181,60.9096167752,G02_Z5A_ZZ05
599650.039429887,6754103.92247792,-139.1626159929,60.9095034009,G02_Z5A_ZZ06
599690.209174816,6754090.50313599,-139.1618827112,60.909372877,G02_Z5A_ZZ07
599650.206888898,6754090.33709976,-139.1626199248,60.9093814516,G02_Z5A_ZZ08
599583.158494678,6754210.18116853,-139.1637935687,60.9104737225,G02_Z5B_ZZ01
599594.521382102,6754170.15415006,-139.163604842,60.9101116868,G02_Z5B_ZZ02
599609.40829586,6754209.9611079,-139.1633099566,60.910465148,G02_Z5B_ZZ03
599569.297818371,6754209.89905828,-139.164049136,60.9104746752,G02_Z5B_ZZ04
599609.658438915,6754197.22752446,-139.1633119225,60.9103508214,G02_Z5B_ZZ05
599569.291570514,6754183.4621077,-139.1640628973,60.910237447,G02_Z5B_ZZ06
599609.460099578,6754170.0418737,-139.1633296156,60.9101069232,G02_Z5B_ZZ07
599569.4587427,6754169.87672736,-139.1640668291,60.9101154977,G02_Z5B_ZZ08
599903.253491912,6754572.7655684,-139.1577071339,60.9136467333,G02_Z5C_ZZ01
599914.619117475,6754532.73953579,-139.1575184073,60.9132846976,G02_Z5C_ZZ02
599929.500722608,6754572.54789378,-139.1572235219,60.9136381588,G02_Z5C_ZZ03
599889.394203057,6754572.48219757,-139.1579627013,60.913647686,G02_Z5C_ZZ04
599929.752069977,6754559.81431812,-139.1572254878,60.9135238322,G02_Z5C_ZZ05
599889.390507289,6754546.04521536,-139.1579764626,60.9134104578,G02_Z5C_ZZ06
599929.556373948,6754532.6286174,-139.1572431809,60.913279934,G02_Z5C_ZZ07
599889.558974148,6754532.45983427,-139.1579803944,60.9132885085,G02_Z5C_ZZ08
600422.373498451,6754653.85233524,-139.1480978016,60.914243074,G02_Z6A_ZZ01
600433.744827106,6754613.82791125,-139.1479090749,60.9138810383,G02_Z6A_ZZ02
600448.620309884,6754653.6384987,-139.1476141895,60.9142344995,G02_Z6A_ZZ03
600408.514497933,6754653.56693748,-139.1483533689,60.9142440267,G02_Z6A_ZZ04
600448.873528732,6754640.90493163,-139.1476161554,60.9141201728,G02_Z6A_ZZ05
600408.514696143,6754627.12991937,-139.1483671302,60.9140067985,G02_Z6A_ZZ06
600448.681840305,6754613.71916589,-139.1476338485,60.9138762746,G02_Z6A_ZZ07
600408.685161063,6754613.54454473,-139.148371062,60.9138848492,G02_Z6A_ZZ08
600583.729059812,6754289.47706939,-139.1453140833,60.9109324746,G02_Z6B_ZZ01
600595.103111524,6754249.45315197,-139.1451253567,60.9105704389,G02_Z6B_ZZ02
600609.978604253,6754289.26440086,-139.1448304713,60.9109239001,G02_Z6B_ZZ03
600569.868623293,6754289.19105468,-139.1455696507,60.9109334273,G02_Z6B_ZZ04
600610.23234117,6754276.53084525,-139.1448324372,60.9108095734,G02_Z6B_ZZ05
600569.869842479,6754262.75403699,-139.145583412,60.9106961991,G02_Z6B_ZZ06
600610.041682633,6754249.3450714,-139.1448501303,60.9105656752,G02_Z6B_ZZ07
600570.040849776,6754249.16867015,-139.1455873438,60.9105742498,G02_Z6B_ZZ08
600545.258293818,6754291.79704142,-139.1460218083,60.9109630591,G02_Z6C_ZZ01
600556.631902859,6754251.77300462,-139.1458330817,60.9106010234,G02_Z6C_ZZ02
600571.507813775,6754291.58408915,-139.1455381962,60.9109544846,G02_Z6C_ZZ03
600531.397868803,6754291.51117664,-139.1462773757,60.9109640118,G02_Z6C_ZZ04
600571.76140766,6754278.85054294,-139.1455401622,60.910840158,G02_Z6C_ZZ05
600531.398803496,6754265.07416134,-139.146291137,60.9107267836,G02_Z6C_ZZ06
600571.570456774,6754251.66477363,-139.1455578553,60.9105962598,G02_Z6C_ZZ07
600531.569664418,6754251.48879389,-139.1462950688,60.9106048343,G02_Z6C_ZZ08
600704.273947502,6754251.98939835,-139.1431122723,60.910565459,G02_Z7A_ZZ01
600715.649460525,6754211.96585549,-139.1429235457,60.9102034233,G02_Z7A_ZZ02
600730.523808296,6754251.77761742,-139.1426286603,60.9105568845,G02_Z7A_ZZ03
600690.413357149,6754251.70291486,-139.1433678397,60.9105664117,G02_Z7A_ZZ04
600730.777970163,6754239.04407832,-139.1426306262,60.9104425579,G02_Z7A_ZZ05
600690.41545307,6754225.26589057,-139.143381601,60.9103291835,G02_Z7A_ZZ06
600730.588210924,6754211.8582912,-139.1426483193,60.9101986597,G02_Z7A_ZZ07
