X;Y;name
-139.1770309108;60.9222041665;G02_LC003
-139.1775782563;60.9222434245;G02_LC004
-139.1781256031;60.9222826802;G02_LC005
-139.178662676;60.922220032;G02_LC006
-139.1791994941;60.9221548753;G02_LC007
-139.17973631;60.9220897164;G02_LC008
-139.1802731238;60.9220245553;G02_LC009
-139.1811914782;60.921732542;G02_LC011
-139.181614239;60.9215655262;G02_LC012
-139.1817715595;60.9213073357;G02_LC013
-139.1819288774;60.921049145;G02_LC014
-139.1820539878;60.9207899858;G02_LC015
-139.181963136;60.9205243338;G02_LC016
-139.1818722858;60.9202586816;G02_LC017
-139.181781437;60.9199930294;G02_LC018
-139.1816648409;60.9197315785;G02_LC019
-139.1811521052;60.9192542894;G02_LC021
-139.1808957431;60.9190156441;G02_LC022
-139.1805868628;60.9187949059;G02_LC023
-139.1802138099;60.9185960483;G02_LC024
-139.1798407616;60.9183971896;G02_LC025
-139.1794677179;60.9181983299;G02_LC026
-139.1790176473;60.9180498423;G02_LC027
-139.178519344;60.9179328964;G02_LC028
-139.1780210443;60.9178159487;G02_LC029
-139.1769658698;60.9176595184;G02_LC031
-139.1764307654;60.9175912454;G02_LC032
-139.1758956632;60.9175229704;G02_LC033
-139.1753608595;60.9175086728;G02_LC034
-139.1748265154;60.9175783403;G02_LC035
-139.174292169;60.9176480057;G02_LC036
-139.1737578204;60.917717669;G02_LC037
-139.1732234694;60.9177873301;G02_LC038
-139.1728699851;60.9179739124;G02_LC039
-139.1722997549;60.9184354774;G02_LC041
-139.1720146335;60.9186662589;G02_LC042
-139.171888876;60.9189143103;G02_LC043
-139.1719459912;60.9191821791;G02_LC044
-139.1720031073;60.9194500479;G02_LC045
-139.1720602243;60.9197179167;G02_LC046
-139.1721173422;60.9199857855;G02_LC047
-139.172292228;60.9202284056;G02_LC048
-139.1726596191;60.9204297536;G02_LC049
-139.1733944152;60.9208324467;G02_LC051
-139.1737630685;60.9210332283;G02_LC052
-139.1741478128;60.921226748;G02_LC053
-139.1745325617;60.9214202666;G02_LC054
-139.1749173153;60.9216137841;G02_LC055
-139.1753020735;60.9218073005;G02_LC056
-139.1756868364;60.9220008158;G02_LC057
-139.1759362242;60.922125644;G02_LC001
-139.1807444839;60.921891234;G02_LC010
-139.1814084711;60.9194929342;G02_LC020
-139.1775009767;60.9177277892;G02_LC030
-139.1725848721;60.9182046952;G02_LC040
-139.1730270149;60.9206311007;G02_LC050
-139.1652758255;60.9113733501;G02_UH002
-139.1650450652;60.9116180967;G02_UH003
-139.1648143013;60.9118628429;G02_UH004
-139.1645835338;60.9121075887;G02_UH005
-139.1643527627;60.9123523341;G02_UH006
-139.1641219881;60.912597079;G02_UH007
-139.1638912099;60.9128418235;G02_UH008
-139.1636604282;60.9130865677;G02_UH009
-139.163198854;60.9135760546;G02_UH011
-139.1629680616;60.9138207975;G02_UH012
-139.1627372656;60.9140655399;G02_UH013
-139.162506466;60.9143102819;G02_UH014
-139.1622756628;60.9145550235;G02_UH015
-139.1620448561;60.9147997647;G02_UH016
-139.1618140458;60.9150445055;G02_UH017
-139.161583232;60.9152892458;G02_UH018
-139.1613524146;60.9155339858;G02_UH019
-139.1608094573;60.9155534191;G02_UH021
-139.1604978118;60.915330924;G02_UH022
-139.1601861706;60.9151084283;G02_UH023
-139.1598745337;60.9148859318;G02_UH024
-139.1595629011;60.9146634347;G02_UH025
-139.1592512729;60.9144409368;G02_UH026
-139.158939649;60.9142184382;G02_UH027
-139.1586280295;60.9139959389;G02_UH028
-139.1583164142;60.9137734389;G02_UH029
-139.1576931968;60.9133284367;G02_UH031
-139.1573815945;60.9131059346;G02_UH032
-139.1570699966;60.9128834317;G02_UH033
-139.1567584031;60.9126609282;G02_UH034
-139.1564468138;60.9124384239;G02_UH035
-139.1561352289;60.9122159189;G02_UH036
-139.1558236483;60.9119934132;G02_UH037
-139.155512072;60.9117709068;G02_UH038
-139.1552005001;60.9115483997;G02_UH039
-139.1545773692;60.9111033834;G02_UH041
-139.1542658103;60.9108808741;G02_UH042
-139.1539542557;60.9106583642;G02_UH043
-139.1536427054;60.9104358535;G02_UH044
-139.1533311594;60.9102133422;G02_UH045
-139.1530196178;60.9099908301;G02_UH046
-139.1527080805;60.9097683173;G02_UH047
-139.1523965475;60.9095458038;G02_UH048
-139.1520850189;60.9093232896;G02_UH049
-139.1514619746;60.908878259;G02_UH051
-139.1511504589;60.9086557427;G02_UH052
-139.1508389476;60.9084332257;G02_UH053
-139.1505274406;60.9082107079;G02_UH054
-139.1502159379;60.9079881894;G02_UH055
-139.1499044396;60.9077656703;G02_UH056
-139.1495929455;60.9075431504;G02_UH057
-139.1492814559;60.9073206298;G02_UH058
-139.1489699705;60.9070981085;G02_UH059
-139.1483470127;60.9066530638;G02_UH061
-139.1481214992;60.9068769983;G02_UH062
-139.1479003933;60.907123842;G02_UH063
-139.1476792839;60.9073706852;G02_UH064
-139.1474581711;60.907617528;G02_UH065
-139.1472370548;60.9078643705;G02_UH066
-139.1470159351;60.9081112125;G02_UH067
-139.1467948119;60.9083580542;G02_UH068
-139.1465736853;60.9086048955;G02_UH069
-139.1461314218;60.9090985769;G02_UH071
-139.1459102848;60.9093454171;G02_UH072
-139.1456891444;60.9095922568;G02_UH073
-139.1454680006;60.9098390962;G02_UH074
-139.1452468533;60.9100859351;G02_UH075
-139.1450257025;60.9103327737;G02_UH076
-139.1448045483;60.9105796119;G02_UH077
-139.1445833907;60.9108264497;G02_UH078
-139.1443622296;60.9110732872;G02_UH079
-139.1439198971;60.9115669608;G02_UH081
-139.1436987256;60.9118137971;G02_UH082
-139.1434775508;60.912060633;G02_UH083
-139.1432563724;60.9123074685;G02_UH084
-139.1430351906;60.9125543036;G02_UH085
-139.1431143481;60.9126897762;G02_UH086
-139.1436618479;60.912651593;G02_UH087
-139.1442093464;60.9126134075;G02_UH088
-139.1447568436;60.9125752198;G02_UH089
-139.1458518343;60.9124988377;G02_UH091
-139.1463993277;60.9124606433;G02_UH092
-139.1469468198;60.9124224467;G02_UH093
-139.1474943107;60.9123842478;G02_UH094
-139.1480418003;60.9123460467;G02_UH095
-139.1485892886;60.9123078434;G02_UH096
-139.1491367757;60.9122696379;G02_UH097
-139.1496842615;60.9122314301;G02_UH098
-139.150231746;60.91219322;G02_UH099
-139.1513267112;60.9121167933;G02_UH101
-139.1518741919;60.9120785766;G02_UH102
-139.1524216713;60.9120403576;G02_UH103
-139.1529691495;60.9120021364;G02_UH104
-139.1535166263;60.911963913;G02_UH105
-139.1540641019;60.9119256874;G02_UH106
-139.1546115763;60.9118874595;G02_UH107
-139.1551590493;60.9118492294;G02_UH108
-139.1557065211;60.911810997;G02_UH109
-139.1568014609;60.9117345256;G02_UH111
-139.1573489289;60.9116962866;G02_UH112
-139.1578963956;60.9116580453;G02_UH113
-139.158443861;60.9116198018;G02_UH114
-139.1589913252;60.911581556;G02_UH115
-139.159538788;60.9115433081;G02_UH116
-139.1600862497;60.9115050579;G02_UH117
-139.16063371;60.9114668054;G02_UH118
-139.1611811691;60.9114285507;G02_UH119
-139.1622760834;60.9113520347;G02_UH121
-139.1628235386;60.9113137733;G02_UH122
-139.1633709926;60.9112755097;G02_UH123
-139.1639184453;60.9112372439;G02_UH124
-139.1644658967;60.9111989758;G02_UH125
-139.1650133468;60.9111607055;G02_UH126
-139.1655065823;60.911128603;G02_UH001
