X;Y;name
-139.0869324565;60.994407683;G13_UT003
-139.0865095061;60.994581838;G13_UT004
-139.0860865511;60.9947559916;G13_UT005
-139.0856635915;60.9949301439;G13_UT006
-139.0852406273;60.9951042948;G13_UT007
-139.0848176584;60.9952784444;G13_UT008
-139.084394685;60.9954525926;G13_UT009
-139.0839717068;60.9956267395;G13_UT010
-139.0835487241;60.995800885;G13_UT011
-139.0831257368;60.9959750292;G13_UT012
-139.0827027448;60.996149172;G13_UT013
-139.0822797482;60.9963233135;G13_UT014
-139.0818567469;60.9964974536;G13_UT015
-139.0814337411;60.9966715924;G13_UT016
-139.0810107306;60.9968457298;G13_UT017
-139.0805877155;60.9970198658;G13_UT018
-139.0801646958;60.9971940005;G13_UT019
-139.0797416714;60.9973681339;G13_UT020
-139.0793186424;60.9975422659;G13_UT021
-139.0788956088;60.9977163966;G13_UT022
-139.0784725706;60.9978905259;G13_UT023
-139.0780495277;60.9980646538;G13_UT024
-139.0776264802;60.9982387804;G13_UT025
-139.0772034281;60.9984129057;G13_UT026
-139.0767803714;60.9985870296;G13_UT027
-139.07635731;60.9987611521;G13_UT028
-139.075934244;60.9989352733;G13_UT029
-139.0755111734;60.9991093932;G13_UT030
-139.0750880982;60.9992835117;G13_UT031
-139.0746650183;60.9994576288;G13_UT032
-139.0742419338;60.9996317446;G13_UT033
-139.0738188447;60.999805859;G13_UT034
-139.073395751;60.9999799721;G13_UT035
-139.0729726526;61.0001540839;G13_UT036
-139.0725495496;61.0003281942;G13_UT037
-139.072126442;61.0005023033;G13_UT038
-139.0717033298;61.000676411;G13_UT039
-139.2164307812;60.7785472072;G04_LT001
-139.2162719115;60.7788050755;G04_LT002
-139.2161130393;60.7790629435;G04_LT003
-139.2159541644;60.7793208113;G04_LT004
-139.215795287;60.7795786789;G04_LT005
-139.215636407;60.7798365463;G04_LT006
-139.2154775244;60.7800944135;G04_LT007
-139.2153186392;60.7803522805;G04_LT008
-139.2151597514;60.7806101472;G04_LT009
-139.2150008611;60.7808680138;G04_LT010
-139.2148419681;60.7811258802;G04_LT011
-139.2146830726;60.7813837463;G04_LT012
-139.2145241745;60.7816416122;G04_LT013
-139.2143652738;60.781899478;G04_LT014
-139.2142063705;60.7821573435;G04_LT015
-139.2140474646;60.7824152088;G04_LT016
-139.2138885561;60.7826730739;G04_LT017
-139.2137296451;60.7829309388;G04_LT018
-139.2135707314;60.7831888035;G04_LT019
-139.2134118152;60.783446668;G04_LT020
-139.2132528964;60.7837045322;G04_LT021
-139.242734725;60.7844817924;G04_UT001
-139.2424158111;60.7847013897;G04_UT002
-139.2420968929;60.7849209863;G04_UT003
-139.2417779703;60.7851405821;G04_UT004
-139.2414590433;60.7853601771;G04_UT005
-139.2411401119;60.7855797714;G04_UT006
-139.2408211762;60.7857993648;G04_UT007
-139.240502236;60.7860189575;G04_UT008
-139.2401832915;60.7862385493;G04_UT009
-139.2398643426;60.7864581404;G04_UT010
-139.2395453893;60.7866777308;G04_UT011
-139.2392264317;60.7868973203;G04_UT012
-139.2389074697;60.787116909;G04_UT013
-139.2385885033;60.787336497;G04_UT014
-139.2382695325;60.7875560842;G04_UT015
-139.2379505573;60.7877756706;G04_UT016
-139.2376315778;60.7879952562;G04_UT017
-139.2373125938;60.7882148411;G04_UT018
-139.2369936055;60.7884344251;G04_UT019
-139.2366746129;60.7886540084;G04_UT020
-139.2363556158;60.7888735909;G04_UT021
