X;Y;Slope_G4;Aspect_G4;DEM_G4;d100_a110_
595357.079;6740803.87;3.43893;297.89728;2479;3.2
595284.728;6740836.22;5.03094;297.47443;2475;4.29
595293.796;6740832.08;5.03094;297.47443;2475;4.29
595302.919;6740827.91;4.23572;297.646;2477;3.2
595229.916;6740860.91;10.69191;304.2157;2467;7.13
595239.075;6740856.79;10.69191;304.2157;2467;7.13
595248.181;6740852.7;7.26518;300.96375;2472;4.29
595175.097;6740885.04;15.42857;307.64761;2452;14.04
595184.218;6740881.04;15.42857;307.64761;2452;14.04
595193.393;6740877.02;15.42857;307.64761;2452;14.04
595121.32;6740910.3;12.00211;310.23636;2429;14.42
595130.337;6740906.01;15.53412;315.90936;2444;14.42
595139.408;6740901.69;15.53412;315.90936;2444;14.42
595064.99;6740936.24;9.18267;326.00354;2424;12.6
595074.08;6740932.08;9.18267;326.00354;2424;12.6
595083.17;6740927.92;12.00211;310.23636;2429;14.42
595010.464;6740959.28;2.78866;320.19443;2418;8.54
595019.661;6740955.46;2.78866;320.19443;2418;8.54
595028.912;6740951.61;2.78866;320.19443;2418;8.54
594983.207;6740970.75;1.96872;5.19443;2418;4.97
594992.414;6740966.85;1.96872;5.19443;2418;4.97
595001.213;6740963.12;1.96872;5.19443;2418;4.97
594988.639;6740979.5;1.96872;5.19443;2418;4.97
594979.145;6740976.36;1.96872;5.19443;2418;4.97
594974;6740974.66;1.96872;5.19443;2418;4.97
595039.105;6741008.68;4.4643;208.61046;2419;6.32
595030.693;6741003.34;4.4643;208.61046;2419;6.32
595022.231;6740997.96;4.4643;208.61046;2419;6.32
595086.273;6741043.84;10.98751;223.69804;2430;9.93
595078.383;6741037.77;9.41671;208.00919;2426;6.76
595070.445;6741031.66;9.41671;208.00919;2426;6.76
595132.918;6741079.64;10.50715;222.27368;2442;7.13
595124.981;6741073.55;10.50715;222.27368;2442;7.13
595117.043;6741067.47;10.98751;223.69804;2430;9.93
595182.446;6741115.66;5.0652;219.28941;2451;2.86
595174.337;6741109.82;8.77007;238.24052;2447;8.53
595166.228;6741103.99;8.77007;238.24052;2447;8.53
595231.132;6741148.96;1.35871;336.80139;2453;1.92
595222.821;6741143.33;1.35871;336.80139;2453;1.92
595214.559;6741137.74;1.35871;336.80139;2453;1.92
595280.689;6741185.34;12.20624;42.66269;2446;-1.92
595272.647;6741179.35;12.20624;42.66269;2446;-1.92
595264.655;6741173.39;12.20624;42.66269;2446;-1.92
595328.86;6741220.28;21.25712;41.09951;2419;-2.56
595320.738;6741214.42;19.2157;45;2429;-4.47
595312.663;6741208.6;19.2157;45;2429;-4.47
595379.379;6741252.04;21.52774;39.22567;2396;0
595370.819;6741246.81;21.52774;39.22567;2396;0
595362.309;6741241.61;21.52774;39.22567;2396;0
595433.465;6741290.57;15.06615;45.93919;2374;11.62
595425.359;6741284.64;15.06615;45.93919;2374;11.62
595417.307;6741278.75;15.06615;45.93919;2374;11.62
595445.978;6741257.73;17.8111;3.88791;2381;13.82
595444.833;6741267.67;17.8111;3.88791;2381;13.82
595443.689;6741277.6;8.81421;349.59229;2367;20.25
595453.782;6741198.66;19.89028;8.40891;2395;10.14
595452.443;6741208.53;19.89028;8.40891;2395;10.14
595451.097;6741218.47;19.89028;8.40891;2395;10.14
595460.929;6741139.47;19.57533;13.67131;2426;3.2
595459.763;6741149.37;19.57533;13.67131;2426;3.2
595458.59;6741159.33;20.48576;10.56101;2412;5.75
595470.365;6741079.16;19.01984;16.79837;2440;1.28
595468.752;6741088.99;19.01984;16.79837;2440;1.28
595467.129;6741098.88;19.01984;16.79837;2440;1.28
595476.595;6741020.52;15.30983;19.25929;2466;-1.92
595475.651;6741030.5;15.30983;19.25929;2466;-1.92
595474.713;6741040.43;18.30518;18.09391;2453;0.64
595480.649;6740961.7;9.97304;22.9321;2474;-2.56
595480.01;6740971.71;9.97304;22.9321;2474;-2.56
595479.376;6740981.67;9.97304;22.9321;2474;-2.56
595485.234;6740900.99;5.3929;55.7843;2479;-3.84
595484.458;6740910.96;9.02711;43.40886;2476;-5.11
595483.682;6740920.93;9.02711;43.40886;2476;-5.11
595491.208;6740840.99;3.61821;57.09476;2480;-1.92
595490.178;6740850.9;3.61821;57.09476;2480;-1.92
595489.143;6740860.87;3.61821;57.09476;2480;-1.92
595499.264;6740782.08;3.42936;27.89727;2484;-0.45
595497.844;6740791.97;3.85735;33.69007;2482;-0.45
595496.425;6740801.86;3.85735;33.69007;2482;-0.45
595506.237;6740722.34;2.03841;52.12502;2486;-2.26
595505.13;6740732.27;2.03841;52.12502;2486;-2.26
595504.023;6740742.2;2.03841;52.12502;2486;-2.26
595513.047;6740662.33;8.09287;142.12502;2483;-5.71
595511.912;6740672.29;3.32363;126.25384;2486;-2.86
595510.783;6740682.2;3.32363;126.25384;2486;-2.86
595520.397;6740603.03;12.45815;138.43362;2477;-8.53
595519.148;6740612.94;12.45815;138.43362;2477;-8.53
595517.899;6740622.85;12.45815;138.43362;2477;-8.53
595526.552;6740543.59;22.17609;130.03026;2448;-16.7
595525.567;6740553.53;20.17025;139.82077;2460;-12.68
595524.576;6740563.53;20.17025;139.82077;2460;-12.68
595533.913;6740483.84;23.08338;117.50424;2439;-20.56
595532.642;6740493.76;23.08338;117.50424;2439;-20.56
595531.372;6740503.69;23.08338;117.50424;2439;-20.56
595541.635;6740423.32;24.93131;100.85641;2428;-22.73
595540.375;6740433.2;24.0766;107.92792;2432;-22.35
595539.108;6740443.13;24.0766;107.92792;2432;-22.35
595549.598;6740362.46;25.81886;98.54908;2425;-23.88
595548.292;6740372.39;25.81886;98.54908;2425;-23.88
595546.995;6740382.26;25.81886;98.54908;2425;-23.88
595552.233;6740304.51;28.02576;101.17792;2418;-25.38
595551.956;6740314.49;26.92709;99.92625;2422;-24.63
595551.68;6740324.48;26.92709;99.92625;2422;-24.63
595557.351;6740244.32;28.90475;103.0919;2414;-26.11
595556.388;6740254.31;28.90475;103.0919;2414;-26.11
595555.43;6740264.24;28.90475;103.0919;2414;-26.11
595578.491;6740239.52;26.69722;105.50504;2393;-23.5
595568.804;6740237.06;26.69722;105.50504;2393;-23.5
595559.116;6740234.59;28.90475;103.0919;2414;-26.11
595621.994;6740278.71;24.08732;106.66087;2380;-21.57
595615.247;6740271.38;24.08732;106.66087;2380;-21.57
595608.459;6740264.01;24.54694;107.9389;2375;-22.73
595662.117;6740323.49;21.67305;109.29005;2369;-20.38
595655.434;6740315.99;21.67305;109.29005;2369;-20.38
595648.791;6740308.54;21.67305;109.29005;2369;-20.38
595703.308;6740367.27;20.90285;111.10484;2360;-20.38
595696.424;6740360.03;20.90285;111.10484;2360;-20.38
595689.539;6740352.79;20.90285;111.10484;2360;-20.38
595742.899;6740410.71;21.09905;114.90477;2352;-20.38
595736.192;6740403.29;21.09905;114.90477;2352;-20.38
595729.485;6740395.87;21.09905;114.90477;2352;-20.38
595782.71;6740458.19;21.71502;117.57014;2345;-20.25
595776.311;6740450.45;21.71502;117.57014;2345;-20.25
595769.95;6740442.75;21.71502;117.57014;2345;-20.25
595824.79;6740500.81;24.24025;119.0546;2338;-21.8
595817.663;6740493.84;24.24025;119.0546;2338;-21.8
595810.494;6740486.83;24.24025;119.0546;2338;-21.8
595865.471;6740545.33;34.87685;111.84911;2330;-39.52
595858.833;6740537.9;34.87685;111.84911;2330;-39.52
595852.155;6740530.42;34.87685;111.84911;2330;-39.52
595875.378;6740563.57;39.31398;117.73818;2342;-40.36
595872.504;6740553.98;39.31398;117.73818;2342;-40.36
595872.15;6740552.8;39.31398;117.73818;2342;-40.36
595833.681;6740591.89;39.91077;130.76361;2387;-34.99
595842.885;6740588.02;39.31398;117.73818;2342;-40.36
595852.143;6740584.12;39.31398;117.73818;2342;-40.36
595777.517;6740616.6;37.54258;137.96094;2410;-29.9
595786.617;6740612.57;37.54258;137.96094;2410;-29.9
595795.774;6740608.5;37.54258;137.96094;2410;-29.9
595723.538;6740641.44;29.79263;144.75243;2451;-21.8
595732.6;6740637.24;29.79263;144.75243;2451;-21.8
595741.715;6740633.01;29.79263;144.75243;2451;-21.8
595668.456;6740667.4;20.45536;157.9321;2468;-8.53
595677.495;6740663.13;20.45536;157.9321;2468;-8.53
595686.533;6740658.85;24.50194;151.8584;2462;-15.38
595614.524;6740690.73;7.64115;158.19859;2481;-2.86
595623.731;6740686.82;7.64115;158.19859;2481;-2.86
595632.937;6740682.92;7.64115;158.19859;2481;-2.86
595557.377;6740714.27;2.49267;68.96249;2484;-1.43
595566.599;6740710.49;1.36337;66.80141;2483;0
595575.878;6740706.69;5.65285;155.85446;2482;-1.43
595529.736;6740726.52;2.49267;68.96249;2484;-1.43
595538.807;6740722.35;2.49267;68.96249;2484;-1.43
595547.906;6740718.16;2.49267;68.96249;2484;-1.43
595308.081;6740566.16;11.03608;26.56505;2491;0
595315.408;6740559.42;11.03608;26.56505;2491;0
595322.775;6740552.63;6.6314;20.37643;2488;0
595264.891;6740605.93;12.88669;29.35775;2486;1.28
595272.237;6740599.17;12.88669;29.35775;2486;1.28
595279.626;6740592.37;12.88669;29.35775;2486;1.28
595230.633;6740656.27;15.75709;30.52971;2483;1.28
595235.88;6740647.77;15.75709;30.52971;2483;1.28
595241.16;6740639.22;15.75709;30.52971;2483;1.28
595199.347;6740707.32;14.37732;25.9423;2478;1.36
595204.573;6740698.78;7.18977;15.75117;2476;3.2
595209.769;6740690.29;7.18977;15.75117;2476;3.2
595171.147;6740758.8;7.35456;322.8533;2468;5.71
595175.858;6740749.99;7.35456;322.8533;2468;5.71
595180.597;6740741.14;7.62377;358.66779;2473;2.72
